fecha,boletin,titulo,status,fecha_sort,boletin
12/09/2018,12111-03,"Modifica la ley N° 19.496, que Establece Normas sobre Protección de los Derechos de los Consumidores, en materia de información al solicitante de un crédito, respecto de la carga anual equivalente (CAE) de la operación",En tramitación,2018/09/12,12111-03
12/09/2018,12110-03,"Modifica la ley N°19.496, que Establece Normas sobre Protección de los Derechos de los Consumidores, en lo relativo al crédito en operaciones de consumo, las cláusulas de aceleración y las condiciones para proceder a su cobranza",En tramitación,2018/09/12,12110-03
11/09/2018,12099-03,"Modifica la ley N° 19.496, que Establece Normas sobre Protección de los Derechos de los Consumidores, en el sentido de imponer a los proveedores que indica, la obligación de dar a conocer las vulneraciones a las bases de datos que contengan información sobre sus clientes o usuarios",En tramitación,2018/09/11,12099-03
06/09/2018,12081-03,"Modifica la ley N° 19.496, que Establece Normas sobre Protección de los Derechos de los Consumidores, para establecer la ineficacia de las cláusulas de los contratos de adhesión que discriminen a portadores de VIH y a quienes padecen SIDA",En tramitación,2018/09/06,12081-03
05/09/2018,12073-11,Modifica el Código Sanitario con el objeto de exigir que se sirva agua potable en forma gratuita a los clientes de restaurantes y establecimientos que indica,En tramitación,2018/09/05,12073-11
04/09/2018,12059-13,"Reajusta el monto del ingreso mínimo mensual, así como la asignación familiar y maternal, y el subsidio familiar",Publicado,2018/09/04,12059-13
03/09/2018,12058-08,Sobre eficiencia energética.,En tramitación,2018/09/03,12058-08
23/08/2018,12054-03,"Modifica la ley N°19.496, que Establece Normas sobre Protección de los Derechos de los Consumidores, para establecer la nulidad de los contratos de seguro contra fraudes informáticos, que tengan por objeto eludir la responsabilidad de los bancos frente a sus clientes",En tramitación,2018/08/23,12054-03
23/08/2018,12043-05,Moderniza la legislación tributaria,Publicado,2018/08/23,12043-05
23/08/2018,12053-03,"Modifica la ley N°19.496, que Establece Normas sobre Protección de los Derechos de los Consumidores, con el objeto de prohibir a los proveedores solicitar datos personales de sus clientes para hacer efectivas ofertas o promociones",En tramitación,2018/08/23,12053-03
23/08/2018,12055-03,"Modifica la ley General de Bancos y la ley N°19.496, que Establece Normas sobre Protección de los Derechos de los Consumidores, en el sentido de exigir medidas de resguardo para los clientes de bancos e instituciones financieras que sufran ataques informáticos",En tramitación,2018/08/23,12055-03
22/08/2018,12048-07,Aumenta la penalidad del delito de contrabando de tabaco y cigarrillos.,En tramitación,2018/08/22,12048-07
17/08/2018,12025-03,Establece medidas para impulsar la productividad y el emprendimiento.,En tramitación,2018/08/17,12025-03
17/08/2018,12026-13,"Crea el beneficio social de educación en el nivel de sala cuna, financiado por un fondo solidario.",En tramitación,2018/08/17,12026-13
07/08/2018,11985-01,Establece la denominación de origen `Tamarugal`.,En tramitación,2018/08/07,11985-01
02/08/2018,11971-13,"Reajusta el monto del ingreso mínimo mensual, así como de la asignación familiar y maternal, y del subsidio familiar",En tramitación,2018/08/02,11971-13
02/08/2018,11975-03,Modifica la ley General de Bancos con el objeto de hacer responsables a dichas entidades y a las instituciones financieras por el perjuicio ocasionado a los clientes en razón de la falta de seguridad de los productos y servicios que proporcionan,En tramitación,2018/08/02,11975-03
20/07/2018,11934-15,Regula a las aplicaciones de transporte remunerado de pasajeros y los servicios que a través de ellas se presten,En tramitación,2018/07/20,11934-15
19/07/2018,11945-03,"Modifica la ley N°19.496, que Establece Normas sobre Protección de los Derechos de los Consumidores, para extender el período de garantía para productos nuevos y establecerla para bienes usados",En tramitación,2018/07/19,11945-03
17/07/2018,11924-03,"Modifica la ley N°19.496, que Establece normas sobre protección de los derechos de los consumidores, para establecer el etiquetado de advertencia sobre riesgos de cyberbulling y canales de ayuda, en dispositivos que admiten conexión a internet, y sanciona su infracción.",En tramitación,2018/07/17,11924-03
11/07/2018,11905-03,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, para exigir a los centros comerciales contar con personal médico para brindar atención en situaciones de emergencia",En tramitación,2018/07/11,11905-03
20/06/2018,11835-03,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, en materia de sanciones a las empresas que incurran en acoso telefónico en el envío de promociones o publicidad a los consumidores",En tramitación,2018/06/20,11835-03
13/06/2018,11807-07,Sobre protección de los consumidores.,En tramitación,2018/06/13,11807-07
13/06/2018,11809-12,Para reducir la fabricación de botellas plásticas de un solo uso.,En tramitación,2018/06/13,11809-12
07/06/2018,11802-12,Prohíbe el uso de envases y embalajes plásticos en la comercialización de productos destinados al consumidor final,En tramitación,2018/06/07,11802-12
06/06/2018,11799-03,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, en lo que respecta al ejercicio del derecho a la garantía legal por parte de los adquirentes de vehículos nuevos",En tramitación,2018/06/06,11799-03
05/06/2018,11778-04,Obliga a los sostenedores de los establecimientos educacionales particulares pagados y particulares subvencionados a requerir el acuerdo del Centro de Padres y Apoderados para renovar los textos escolares que utilizan los estudiantes.,En tramitación,2018/06/05,11778-04
29/05/2018,11764-03,"Modifica la ley N°19.496, que Establece normas sobre protección de los derechos de los consumidores, para sancionar a los prestadores de servicios de transporte aéreo de pasajeros, en caso de cometer las infracciones que indica, o incurrir en conductas o prácticas que perjudiquen patrimonialmente al consumidor",En tramitación,2018/05/29,11764-03
17/05/2018,11749-10,"Aprueba el Protocolo de Modificación del Tratado de Libre Comercio y del Acuerdo Complementario sobre Comercio de Servicios entre el Gobierno de la República de Chile y el Gobierno de la República Popular China, suscrito en Da Nang, República Socialista de Vietnam, el 11 de noviembre de 2017",Publicado,2018/05/17,11749-10
11/05/2018,11730-10,"Aprueba el Sexagésimo Primer Protocolo Adicional al Acuerdo de Complementación Económica N° 35, celebrado entre los Estados Partes del MERCOSUR y la República de Chile, en Montevideo, el 4 de enero de 2018, que contiene el Acuerdo Comercial entre la República de Chile y la República Argentina, suscrito en Buenos Aires, Argentina, el 2 de noviembre de 2017",En tramitación,2018/05/11,11730-10
10/05/2018,11732-18,Dispone un sistema de atención preferente para mujeres embarazadas en servicios y establecimientos públicos,En tramitación,2018/05/10,11732-18
03/05/2018,11716-07,"Modifica la ley N°19.628, Sobre Protección de la Vida Privada, en cuanto a la utilización de datos personales relativos a obligaciones de carácter económico, financiero, bancario o comercial",En tramitación,2018/05/03,11716-07
12/04/2018,11677-03,"Modifica la ley N° 19.496, sobre protección de los derechos de los consumidores, para restringir el alza de precios del transporte en las zonas extremas, cuando concurran circunstancias excepcionales.",En tramitación,2018/04/12,11677-03
11/04/2018,11676-03,"Modifica la ley N° 19.496, sobre protección de los derechos de los consumidores, para prohibir que se pida el número de cédula de identidad en establecimientos comerciales.",En tramitación,2018/04/11,11676-03
11/04/2018,11679-03,"Modifica la ley N°19.496, que Establece normas sobre protección de los derechos de los consumidores, para prohibir la venta atada de libros y textos escolares",En tramitación,2018/04/11,11679-03
04/04/2018,11661-11,"Establece normas sobre elaboración, denominación y etiquetado de productos lácteos o derivados de la leche",Publicado,2018/04/04,11661-11
03/04/2018,11654-03,"Modifica la ley N° 19.946, que Establece normas sobre protección de los derechos de los consumidores, para exigir sello SERNAC en contratos de adhesión celebrados con bancos y otras entidades que indica",En tramitación,2018/04/03,11654-03
03/04/2018,11659-03,"Modifica la ley N° 19.496 que Establece normas sobre protección de los derechos de los consumidores, para exigir a las empresas proveedoras de servicios básicos domiciliarios, poner a disposición de sus clientes una línea telefónica gratuita de atención",En tramitación,2018/04/03,11659-03
07/03/2018,11620-07,"Modifica la ley N°20.000, que sanciona el tráfico ilícito de estupefacientes y sustancias sicotrópicas, para sancionar con la pena de presidio menor en su grado mínimo a los conductores que consuman sustancias prohibidas.",En tramitación,2018/03/07,11620-07
06/03/2018,11619-17,"Otorga un aporte único de carácter reparatorio a las víctimas de prisión política y tortura, reconocidas por el Estado de Chile",Retirado,2018/03/06,11619-17
23/01/2018,11585-05,"Establece incentivos al retiro para los funcionarios del Senado, de la Cámara de Diputados y de la Biblioteca del Congreso Nacional, y les otorga el derecho a percibir la bonificación por retiro del Título II de la ley N°19.882, en la forma que indica.",Publicado,2018/01/23,11585-05
23/01/2018,11594-15,"Modifica la ley N°18.290, de Tránsito, en materia de cumplimiento y fiscalización del requisito de no ser consumidor de drogas o sustancias prohibidas, para la obtención de licencia profesional de conducir",En tramitación,2018/01/23,11594-15
17/01/2018,11580-05,"Modifica la ley N°19.886, de Bases Sobre Contratos Administrativos de Suministro y Prestación de Servicios, en materia de requisitos para contratar con la Administración",En tramitación,2018/01/17,11580-05
16/01/2018,11570-06,Otorga beneficios de incentivo al retiro para los funcionarios municipales que indica,Publicado,2018/01/16,11570-06
03/01/2018,11560-07,Modifica la Carta Fundamental en lo relativo a las atribuciones del Tribunal Constitucional.,En tramitación,2018/01/03,11560-07
13/12/2017,11539-15,"Modifica el Código Aeronáutico, para especificar las indicaciones mínimas que deben contener los pasajes en los contratos de transporte aéreo.",En tramitación,2017/12/13,11539-15
10/11/2017,11495-07,"Para regular el recurso de protección y derogar la ley N°18.971, que regula el recurso denominado de amparo económico.",En tramitación,2017/11/10,11495-07
09/11/2017,11500-27,"Modifica la ley General de Servicios Sanitarios y la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, en lo que respecta al concepto de fuerza mayor en las zonas extremas y a la suspensión injustificada de servicios que señala",En tramitación,2017/11/09,11500-27
07/11/2017,11489-08,Para promocionar la eficiencia energética en sectores con consumo energético relevante.,En tramitación,2017/11/07,11489-08
10/10/2017,11467-07,"Otorga incentivo por retiro voluntario a los funcionarios del Poder Judicial, según se indica",Publicado,2017/10/10,11467-07
12/09/2017,11434-07,"Modifica el Código Penal para tipificar el delito de secuestro virtual, y la ley N°19.496, que establece normas sobre protección de los derechos de los consumidores, para establecer obligaciones de información a los proveedores de productos y servicios financieros.",En tramitación,2017/09/12,11434-07
11/09/2017,11429-12,Prohíbe el uso y entrega de bolsas plásticas sean o no biodegradables a los consumidores finales.,En tramitación,2017/09/11,11429-12
04/09/2017,11418-12,Prohíbe la utilización de bolsas plásticas en los establecimientos de comercio,En tramitación,2017/09/04,11418-12
24/08/2017,11417-01,Establece normas sobre comercialización y etiquetado de la leche,Publicado,2017/08/24,11417-01
22/08/2017,11386-03,"Para incorporar un artículo nuevo en la ley N° 19.496, que establece normas sobre protección de los derechos de los consumidores, para prohibir las promociones u ofertas que discriminen por razones de género en establecimientos en que se expendan bebidas alcohólicas.",En tramitación,2017/08/22,11386-03
16/08/2017,11376-03,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, con el objeto de regular las comisiones que cobran las empresas que venden boletos para espectáculos",En tramitación,2017/08/16,11376-03
16/08/2017,11396-03,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, en lo que respecta a la responsabilidad civil de los proveedores de servicios de estacionamiento",En tramitación,2017/08/16,11396-03
14/08/2017,11372-13,"Crea el Nuevo Ahorro Colectivo, aumenta la cobertura del Sistema de Pensiones y Fortalece el Pilar Solidario",En tramitación,2017/08/14,11372-13
14/08/2017,11371-13,Introduce cambios regulatorios al sistema de capitalización individual,En tramitación,2017/08/14,11371-13
07/08/2017,11360-03,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, en lo que respecta al requisito relativo al número de personas que pueden interponer una demanda colectiva",En tramitación,2017/08/07,11360-03
19/07/2017,11330-03,Regula la instalación y el funcionamiento de los juegos inflables infantiles y otros afines,En tramitación,2017/07/19,11330-03
22/06/2017,11301-03,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, para exigir que se proporcione información relativa al material de los envoltorios plásticos de los productos",En tramitación,2017/06/22,11301-03
22/06/2017,11297-03,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, para regular el horario en que podrán realizarse comunicaciones promocionales o publicitarias mediante llamadas telefónicas",En tramitación,2017/06/22,11297-03
20/06/2017,11285-03,"Modifica la ley N° 19.496, que Establece Normas Sobre Protección de los Derechos de los Consumidores, para indemnizar a los afectados por cortes de energía eléctrica y agua potable en el caso que indica",En tramitación,2017/06/20,11285-03
20/06/2017,11281-13,"Crea un seguro para el acompañamiento de niños y niñas que padezcan las enfermedades que indica, y modifica el Código del Trabajo para estos efectos.",Publicado,2017/06/20,11281-13
13/06/2017,11273-03,Regula la creación y funcionamiento de las empresas de beneficio e interés colectivo,En tramitación,2017/06/13,11273-03
13/06/2017,11271-04,"Otorga una bonificación adicional por retiro al personal académico, directivo y profesional no académico de las universidades del Estado y faculta a las mismas para conceder otros beneficios transitorios que indica",Publicado,2017/06/13,11271-04
09/06/2017,11268-03,Faculta a las asociaciones de consumidores para querellarse por delitos contra la libre competencia.,En tramitación,2017/06/09,11268-03
07/06/2017,11261-07,Modifica la Carta Fundamental para crear la Empresa Nacional del Litio,En tramitación,2017/06/07,11261-07
30/05/2017,11248-15,Impide la doble sanción por circular sin dispositivo electrónico (TAG) en los caminos públicos en que opere un sistema electrónico de cobros de tarifas o peajes.,En tramitación,2017/05/30,11248-15
16/05/2017,11232-03,"Modifica la ley N° 19.496, que Establece Normas Sobre Protección de los Derechos de los Consumidores, para aumentar el plazo establecido para ejercer el derecho a retracto, en el caso de los adultos mayores",En tramitación,2017/05/16,11232-03
16/05/2017,11233-03,"Modifica la ley N° 19.628, Sobre Protección de la Vida Privada, en el sentido de sancionar a las entidades responsables de registros o bancos de datos personales en el caso que indica",En tramitación,2017/05/16,11233-03
09/05/2017,11219-03,"Modifica la ley General de Bancos con el objeto de establecer medidas en favor de los deudores hipotecarios que no han pagado las cuotas o dividendos en el plazo estipulado, en los casos que indica",En tramitación,2017/05/09,11219-03
12/04/2017,11194-03,"Modifica la ley N°19.496, que Establece Normas Sobre Protección de los Derechos de los Consumidores, en materia de cobro de servicios de estacionamiento a los trabajadores del respectivo centro comercial",En tramitación,2017/04/12,11194-03
04/04/2017,11178-03,"Modifica la ley N° 19.496, sobre protección de los derechos de los consumidores, en lo relativo al derecho a retracto en los contratos de prestación de servicios educacionales.",En tramitación,2017/04/04,11178-03
20/03/2017,11155-03,"Modifica la ley N° 19.496, que establece normas sobre protección de los derechos de los consumidores, en lo relativo a exenciones y límites al pago en los servicios de estacionamiento.",En tramitación,2017/03/20,11155-03
16/03/2017,11158-03,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, para incorporar, en su regulación, la promesa de compraventa de inmuebles y los convenios de reserva de unidades en este tipo de contratos",En tramitación,2017/03/16,11158-03
15/03/2017,11150-03,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, con el objeto de establecer la gratuidad de los servicios de estacionamiento en los casos que señala",En tramitación,2017/03/15,11150-03
15/03/2017,11154-03,"Modifica la ley N° 19.496, que establece normas sobre protección de los derechos de los consumidores, para regular el cobro de servicios de estacionamiento.",En tramitación,2017/03/15,11154-03
15/03/2017,11149-03,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, en materia de regulación del cobro de servicios de estacionamiento de acceso al público",En tramitación,2017/03/15,11149-03
15/03/2017,11148-03,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, para perfeccionar la regulación del cobro de servicios de estacionamiento",En tramitación,2017/03/15,11148-03
07/03/2017,11133-03,"Modifica el artículo 15 A de la ley N° 19.496, que establece normas sobre protección de los derechos de los consumidores, en materia de regulación del cobro de servicios de estacionamiento de acceso público.",En tramitación,2017/03/07,11133-03
26/01/2017,11119-03,"Modifica la ley N° 20.720, que Sustituye el régimen concursal vigente por una ley de reorganización y liquidación de empresas y personas, y perfecciona el rol de la Superintendencia del ramo, con el objeto de simplificar el Procedimiento Concursal de Renegociación de la Persona Deudora",En tramitación,2017/01/26,11119-03
16/01/2017,11086-05,"Extiende los beneficios de la ley N° 20.948 a los funcionarios y funcionarias de la Junta Nacional de Jardines Infantiles, establece normas especiales para el incentivo de la ley N° 20.213 y modifica los requisitos de ingreso y promoción de la función de supervisión de la planta de profesionales de dicho servicio",Publicado,2017/01/16,11086-05
11/01/2017,11083-03,"Modifica la ley N°19.496, que Establece normas sobre protección de los derechos de los consumidores, para limitar los gastos por conceptos de cobranza extrajudicial en operaciones de crédito de consumo",En tramitación,2017/01/11,11083-03
04/01/2017,11078-03,"Limita la responsabilidad de los usuarios de tarjetas de crédito por operaciones realizadas con tarjetas extraviadas, hurtadas o robadas, en lo relativo a la responsabilidad del usuario y del emisor en casos de uso fraudulento de estos medios de pago.",Publicado,2017/01/04,11078-03
04/01/2017,11076-15,"Modifica la ley N° 18.290, de Tránsito, con el objeto de exceptuar a las motos de reparto de la prohibición de estacionamiento y detención en aceras y pasos de peatones",En tramitación,2017/01/04,11076-15
21/12/2016,11056-03,"Modifica la ley N° 20.720 que sustituye el régimen concursal vigente por una ley de reorganización y liquidación de empresas y personas, y perfecciona el rol de la superintendencia del ramo, en materia de datos personales contenidos en el boletín concursal.",En tramitación,2016/12/21,11056-03
21/12/2016,11061-03,"Modifica la ley N°19.496, que Establece normas para la protección de los derechos de los consumidores, en materia de sanciones y procedimiento en caso de infracciones a la ley, y en las reglas aplicables a las asociaciones de consumidores",En tramitación,2016/12/21,11061-03
21/12/2016,11058-11,Regula la venta de bebidas con aditivos energizantes y sustancias estimulantes a menores de edad.,Archivado,2016/12/21,11058-11
20/12/2016,11046-03,"Modifica la ley N°19.496, sobre Protección de los Derechos de los Consumidores, en materia de exigencias aplicables a la prestación de servicios de atención de salud a domicilio",En tramitación,2016/12/20,11046-03
20/12/2016,11029-04,Modifica diversos cuerpos legales para permitir un adecuado funcionamiento del sistema escolar,Publicado,2016/12/20,11029-04
22/11/2016,10999-15,"Modifica la ley N° 18.168, General de Telecomunicaciones, en lo relativo al principio de neutralidad en la red.",En tramitación,2016/11/22,10999-15
16/11/2016,10973-05,Otorga reajuste de remuneraciones a los trabajadores del Sector Público y concede otros beneficios que indica,Publicado,2016/11/16,10973-05
15/11/2016,10972-03,"Modifica la ley N°19.496, sobre Protección de los Derechos de los Consumidores, para exigir al proveedor de bienes y servicios, la información esencial y necesaria en caso de promociones o liquidaciones",En tramitación,2016/11/15,10972-03
08/11/2016,10957-03,"Modifica la ley N°19.496, que Establece normas sobre Protección de los Derechos de los Consumidores, para incorporar a su ámbito de aplicación, la contratación de servicios vinculados a la medicina veterinaria",En tramitación,2016/11/08,10957-03
26/10/2016,10945-07,"Modifica el decreto ley N° 2.186, que Aprueba ley orgánica de Procedimiento de Expropiaciones, en el sentido de permitir la recuperación del bien expropiado en caso de no cumplirse la finalidad del acto expropiatorio",En tramitación,2016/10/26,10945-07
25/10/2016,10940-05,Concede reajuste extraordinario a la pensión básica solidaria,Publicado,2016/10/25,10940-05
05/10/2016,10917-15,"Agrega un artículo 28 C, nuevo, a la ley N° 19.496, que establece normas sobre protección de los derechos de los consumidores, en lo relativo al volumen de la publicidad emitida por los servicios de televisión.",En tramitación,2016/10/05,10917-15
28/09/2016,10909-03,"Modifica la ley N° 19.496, que Establece normas sobre Protección de los Derechos de los Consumidores, para aumentar los plazos de prescripción de las acciones por responsabilidad contravencional en caso que el afectado sea un adulto mayor",En tramitación,2016/09/28,10909-03
13/09/2016,10898-11,"Modifica la ley N° 18.455, que Fija normas sobre producción, elaboración y comercialización de alcoholes etílicos, bebidas alcohólicas y vinagres, para incorporar en el etiquetado información sobre su composición",En tramitación,2016/09/13,10898-11
06/09/2016,10882-04,Otorga una bonificación adicional por retiro al personal no académico ni profesional de las universidades del Estado y faculta a las mismas para conceder otros beneficios transitorios,Publicado,2016/09/06,10882-04
05/09/2016,10880-03,"Modifica la ley N° 19.496, que Establece Normas sobre Protección de los Derechos de los Consumidores, en lo relativo a las ofertas o cobranzas realizadas por centros de llamadas",En tramitación,2016/09/05,10880-03
09/08/2016,10850-03,"Modifica el decreto ley N° 825, de 1974, ley sobre Impuesto a las Ventas y Servicios, para efectos de exigir la consignación del referido impuesto en la boleta en forma separada al precio del producto",En tramitación,2016/08/09,10850-03
02/08/2016,10820-18,Establece reconocimiento honorífico a los cónyuges que cumplan cincuenta años de matrimonio,En tramitación,2016/08/02,10820-18
02/08/2016,10818-15,"Modifica el artículo 39 de la ley N°18.290, de Tránsito, en lo relativo a la inscripción de la declaración de pérdida total de un vehículo por parte de las empresas aseguradoras y otros, regulando los efectos de su omisión.",En tramitación,2016/08/02,10818-15
20/07/2016,10809-03,"Modifica la ley N° 19.496, que Establece Normas sobre Protección de los Derechos de los Consumidores, en el sentido de eliminar la tacha de testigos en los procedimientos previstos en dicho texto legal",En tramitación,2016/07/20,10809-03
06/07/2016,10791-03,"Modifica el artículo 28 B de la ley N° 19.496, que establece normas sobre protección de los derechos de los consumidores, con el objetivo de incorporar un mecanismo para la protección del derecho a la privacidad de los consumidores.",En tramitación,2016/07/06,10791-03
06/07/2016,10790-11,Otorga bonificación por retiro voluntario y una bonificación adicional a los profesionales funcionarios de los Servicios de Salud y de los establecimientos de salud de carácter experimental que indica,Publicado,2016/07/06,10790-11
05/07/2016,10783-04,Sobre Educación Superior,Publicado,2016/07/05,10783-04
24/06/2016,10778-05,Otorga una bonificación adicional y otros beneficios de incentivo al retiro para los funcionarios y funcionarias de los servicios públicos que se indican y modifica el Título II de la ley N° 19.882.,Publicado,2016/06/24,10778-05
23/06/2016,10776-10,"Aprueba el Primer Protocolo Modificatorio del Protocolo Adicional al Acuerdo Marco de la Alianza del Pacífico, suscrito entre la República de Colombia, la República de Chile, los Estados Unidos Mexicanos y la República del Perú, en Paracas, Ica, República del Perú, suscrito en Paracas, Ica, República del Perú, el 3 de julio de 2015",En tramitación,2016/06/23,10776-10
21/06/2016,10766-05,"Reajusta el monto del ingreso mínimo mensual, así como de la asignación familiar y maternal, y del subsidio familiar",Publicado,2016/06/21,10766-05
14/06/2016,10744-04,"Permite a los profesionales de la educación que indica, entre los años 2016 y 2024, acceder a la bonificación por retiro voluntario establecida en la ley N° 20.822.",Publicado,2016/06/14,10744-04
09/06/2016,10742-03,"Modifica la ley N°19.496, que Establece Normas sobre Protección de los Derechos de los Consumidores, para exigir al proveedor información de precios anteriores, en caso de oferta especial de los productos que comercializa",En tramitación,2016/06/09,10742-03
31/05/2016,10724-03,"Modifica la ley N°19.496, que Establece Normas sobre Protección de los Derechos de los Consumidores, para establecer exigencias en lo que respecta a la información de los precios de productos y servicios comercializados a través de internet en días especiales de ofertas",En tramitación,2016/05/31,10724-03
11/05/2016,10673-03,"Modifica la ley N° 19.496, que Establece Normas sobre Protección de los Derechos de los Consumidores, en el sentido de exigir que el ajuste del precio final de venta de un bien o servicio sea en beneficio del consumidor, en el caso que indica",En tramitación,2016/05/11,10673-03
04/05/2016,10650-03,"Modifica la ley N°19.496 que establece normas sobre protección de los derechos de los consumidores, para exigir a los proveedores de bienes y servicios, la implementación de mecanismos de atención a personas con discapacidad auditiva",En tramitación,2016/05/04,10650-03
02/05/2016,10632-03,"Modifica la ley N° 19.496, que Establece Normas sobre Protección de los Derechos de los Consumidores, con el objeto de aumentar los plazos de prescripción de las acciones establecidas en dicho texto legal",En tramitación,2016/05/02,10632-03
24/03/2016,10591-03,"Modifica la ley N° 19.496, que Establece normas sobre Protección de los Derechos de los Consumidores, para perfeccionar el mecanismo que permite negarse a recibir comunicaciones promocionales o publicitarias de los proveedores",En tramitación,2016/03/24,10591-03
21/03/2016,10583-04,"Otorga al personal asistente de la educación que indica, una bonificación por retiro voluntario, una bonificación adicional por antigüedad y las compatibiliza con los plazos de la ley N° 20.305, que mejora condiciones de retiro de los trabajadores del sector público con bajas tasas de reemplazo de sus pensiones.",Publicado,2016/03/21,10583-04
10/03/2016,10568-07,Modifica la Carta Fundamental con el propósito de hacer obligatoria la comparecencia de ex funcionarios públicos a las comisiones especiales investigadoras de la Cámara de Diputados.,En tramitación,2016/03/10,10568-07
01/03/2016,10551-03,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, con el objeto de sancionar la promoción de estereotipos negativos hacia la mujer, a través de mensajes publicitarios",En tramitación,2016/03/01,10551-03
21/01/2016,10538-03,"Modifica la ley N°19.496, que Establece normas sobre protección de los derechos de los consumidores, para limitar el actuar de las empresas de cobranza respecto de los deudores",En tramitación,2016/01/21,10538-03
20/01/2016,10537-03,"Modifica las leyes N°s 18.010 y 19.496, con el propósito de limitar el acceso al crédito en el caso de personas que no cuentan con ingresos suficientes para endeudarse",En tramitación,2016/01/20,10537-03
20/01/2016,10542-15,"Modifica la ley N°18.290, de Tránsito, para incorporar en el Registro de Vehículos Motorizados, la mención de los siniestros ocurridos en cada vehículo, previa información de la compañía de seguros respectiva",En tramitación,2016/01/20,10542-15
07/01/2016,10507-11,"Modifica el decreto con fuerza de ley N° 1, de 2006, del Ministerio de Salud, con el objeto de impedir y sancionar la integración vertical de las Isapres y los prestadores de salud",En tramitación,2016/01/07,10507-11
06/01/2016,10491-11,Otorga bonificación por retiro voluntario a los funcionarios del sector salud que indica,Publicado,2016/01/06,10491-11
30/12/2015,10489-11,"Otorga bonificación por retiro voluntario al personal regido por la ley N° 19.378, que Establece Estatuto de Atención Primaria de Salud Municipal",Publicado,2015/12/30,10489-11
21/12/2015,10452-03,"Establece normas sobre protección de los derechos de los consumidores, estableciendo garantía para los bienes durables.",En tramitación,2015/12/21,10452-03
15/12/2015,10442-05,Simplifica el sistema de tributación a la renta y perfecciona otras disposiciones legales tributarias,Publicado,2015/12/15,10442-05
09/12/2015,10435-03,"Modifica la ley N°19.496, que establece normas sobre protección de los derechos de los consumidores, para derogar disposición que permite al proveedor de productos o servicios financieros otorgar beneficios asociados al medio de pago empleado",En tramitación,2015/12/09,10435-03
04/12/2015,10428-03,"Establece la obligación de incorporar en el contrato de seguro automotriz, de manera clara y precisa, las menciones que indica",En tramitación,2015/12/04,10428-03
26/11/2015,10424-13,Prorroga la obligatoriedad de cotizar de los trabajadores independientes y adecúa normativa previsional que indica,Publicado,2015/11/26,10424-13
25/11/2015,10418-03,"Modifica la ley N° 19.496 que establece normas sobre protección de los derechos de los consumidores, para exigir que en la publicidad y venta de inmuebles se especifique la superficie, en metros útiles, según sus usos",En tramitación,2015/11/25,10418-03
18/11/2015,10406-11,"Modifica el artículo 100 del Código Sanitario, en materia de incentivos en la venta de productos farmacéuticos.",Publicado,2015/11/18,10406-11
17/11/2015,10399-03,"Modifica la ley N° 19.496, sobre protección de los derechos de los consumidores, y otros cuerpos legales que indica, para garantizar el acceso a distintos sistemas de pago y operaciones bancarias.",En tramitación,2015/11/17,10399-03
09/11/2015,10381-11,Crea una asignación destinada a incentivar el desempeño con dedicación exclusiva de los profesionales de los servicios de salud que indica,Publicado,2015/11/09,10381-11
04/11/2015,10372-03,Crea una nueva institucionalidad del sistema estadístico nacional.,En tramitación,2015/11/04,10372-03
04/11/2015,10375-03,"Establece normas sobre protección de los derechos de los consumidores, regulando la formación del consentimiento en los contratos ofrecidos telefónicamente.",En tramitación,2015/11/04,10375-03
02/11/2015,10366-03,"Modifica el decreto con fuerza de ley N° 1, de 2005, del Ministerio de Economía, Fomento y Reconstrucción, que fija el texto refundido, coordinado y sistematizado del decreto ley Nº 211, de 1973, y otros cuerpos legales, en lo relativo al delito de colusión.",En tramitación,2015/11/02,10366-03
22/10/2015,10360-06,Modifica la ley orgánica constitucional de municipalidades para permitir la creación de farmacias comunales,En tramitación,2015/10/22,10360-06
20/10/2015,10350-03,"Modifica la ley N° 19.496, que establece normas sobre protección de los derechos de los consumidores, en materia de otorgamiento y cobranza de créditos de consumo",En tramitación,2015/10/20,10350-03
09/09/2015,10296-03,"Impone a establecimientos comerciales que comercialicen las denominadas ""gift card"" la obligación de llevar un registro de los consumidores y solicitantes de tales tarjetas",En tramitación,2015/09/09,10296-03
