fecha,boletin,titulo,status,fecha_sort,boletin
02/06/2020,13560-03,"Modifica la ley N°20.720, que Sustituye el régimen concursal vigente por una ley de reorganización y liquidación de empresas y personas, y perfecciona el rol de la Superintendencia del ramo, para facilitar el acceso al procedimiento concursal de renegociación de la persona deudora",En tramitación,2020/06/02,13560-03
27/05/2020,13549-17,Otorga reconocimiento y protección a las prácticas consuetudinarias de comercialización de la producción de la economía familiar campesina de los Pueblos Originarios,En tramitación,2020/05/27,13549-17
27/05/2020,13542-05,"Proyecto de ley que establece un beneficio para los trabajadores independientes que indica, para proteger sus ingresos ante las dificultades generadas por la propagación de la enfermedad Covid-19 en Chile",Publicado,2020/05/27,13542-05
26/05/2020,13540-03,"Modifica la ley N°19.496, que Establece normas sobre protección de los derechos de los consumidores, para prohibir descuentos con cargo a beneficios sociales y seguro de cesantía, por parte de bancos e instituciones financieras, durante la vigencia de un estado de excepción constitucional",En tramitación,2020/05/26,13540-03
25/05/2020,13538-03,"Prohíbe el alza de las rentas y prorroga la vigencia de los contratos de arrendamiento de viviendas, en las condiciones que señala, hasta el cese del estado de excepción constitucional motivado por la pandemia de Covid-19",En tramitación,2020/05/25,13538-03
20/05/2020,13512-03,Proyecto de ley que modifica los cuerpos legales que indica para suspender la tarifa eléctrica de invierno en caso de estado de excepción constitucional.,En tramitación,2020/05/20,13512-03
20/05/2020,13528-01,Proyecto de ley que regula la trazabilidad de la miel de abejas.,En tramitación,2020/05/20,13528-01
19/05/2020,13526-03,Modifica diversos cuerpos legales en materia de gastos asociados a la celebración y liquidación de operaciones de crédito de dinero,En tramitación,2020/05/19,13526-03
12/05/2020,13530-06,"Faculta a los concejos municipales para prorrogar la fecha de pago de las patentes comerciales que indica, durante el estado de excepción constitucional decretado con ocasión de la pandemia de Covid-19",En tramitación,2020/05/12,13530-06
05/05/2020,13479-05,Proyecto de ley que establece un seguro social de protección de ingresos para los trabajadores independientes que indica,En tramitación,2020/05/05,13479-05
28/04/2020,13468-03,"Modifica la ley N°19.496, que Establece normas sobre protección de los derechos de los consumidores, en materia de límites a la cobranza telefónica de créditos de consumo",En tramitación,2020/04/28,13468-03
27/04/2020,13461-31,Concede  un  ingreso  familiar  de emergencia,En tramitación,2020/04/27,13461-31
24/04/2020,13463-03,"Modifica la ley N°19.496, que Establece normas sobre protección de los derechos de los consumidores, para disponer que los contratos suscritos por medios electrónicos, puedan siempre dejarse sin efecto por la misma vía",En tramitación,2020/04/24,13463-03
20/04/2020,13501-07,Reforma constitucional que permite el retiro excepcional de los fondos acumulados de capitalización individual en las condiciones que indica,Publicado,2020/04/20,13501-07
15/04/2020,13445-04,"Dispone la rebaja del arancel anual por alumno, en los establecimientos particulares pagados y subvencionados de educación parvularia, básica y media, durante la vigencia del estado de catástrofe decretado a raíz de la pandemia de Covid-19",En tramitación,2020/04/15,13445-04
15/04/2020,13438-03,"Proyecto de ley que suspende el cobro de servicios básicos de agua potable, electricidad y gas por declaración de estado de catástrofe.",Publicado,2020/04/15,13438-03
09/04/2020,13432-07,"Modifica la ley N°16.282, que Establece disposiciones permanentes para casos de sismos y catástrofes, para aumentar las penas aplicables a quienes incurran en los delitos en ella contemplados, relativos al incremento de precios de bienes y artículos de primera necesidad, por sobre el precio oficial, y establece criterios para la determinación de tal precio",En tramitación,2020/04/09,13432-07
07/04/2020,13413-08,"Modifica la Ley General de Servicios Eléctricos para autorizar la celebración de planes de pago entre las cooperativas de abastecimiento y distribución de energía eléctrica, y las empresas generadoras, en caso de decretarse un estado de excepción constitucional o una emergencia energética",En tramitación,2020/04/07,13413-08
24/03/2020,13362-03,"Modifica diversos cuerpos legales para disponer la suspensión del cobro de obligaciones de pago de servicios, según el detalle que indica, durante la vigencia del estado de excepción constitucional de catástrofe",En tramitación,2020/03/24,13362-03
23/03/2020,13348-07,"Modifica diversos cuerpos legales para consagrar la imprevisión como excepción de pago y de cumplimiento contractual, en las circunstancias y con los requisitos que indica",En tramitación,2020/03/23,13348-07
23/03/2020,13342-03,"Dispone la suspensión del devengo y cobro de las tarifas por consumos de servicios básicos domiciliarios, regula su cálculo, reajuste y prorrateo, y prohíbe el corte o interrupción de tales suministros en caso de deuda, durante la vigencia del decreto que declare el estado de excepción constitucional de catástrofe",Publicado,2020/03/23,13342-03
23/03/2020,13371-03,"Modifica la ley N°19.496, que Establece normas sobre protección de los derechos de los consumidores, para que los acreedores pongan a disposición del deudor que lo requiera, un plan de refinanciamiento o postergación del pago de cuotas de sus créditos",En tramitación,2020/03/23,13371-03
20/03/2020,13337-05,"Establece medidas para apoyar a las familias y a las micro, pequeñas y medianas empresas por el impacto de la enfermedad Covid-19 en Chile",Publicado,2020/03/20,13337-05
17/03/2020,13306-07,Proyecto de ley que establece normas contra la especulación y el acaparamiento de artículos de primera necesidad en caso de emergencia que indica.,En tramitación,2020/03/17,13306-07
05/03/2020,13267-18,Modifica el Código de Procedimiento Civil para declarar inembargables los bienes muebles e inmuebles pertenecientes a personas adultas mayores,En tramitación,2020/03/05,13267-18
04/03/2020,13282-03,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, en materia de horarios, frecuencia y vías de comunicación de las actuaciones de cobranza extrajudicial",En tramitación,2020/03/04,13282-03
04/03/2020,13275-03,"Modifica diversos cuerpos legales en materia de celebración de operaciones de crédito de dinero por personas de entre 18 y 25 años de edad, y otorgamiento del sello Sernac a las instituciones financieras que den cumplimiento a las exigencias establecidas para ellas",En tramitación,2020/03/04,13275-03
29/01/2020,13242-11,"Modifica el Código Sanitario y la ley N°20.584, que Regula los derechos y deberes que tienen las personas en relación con acciones vinculadas a su atención en salud, para exigir la más amplia información respecto de los efectos adversos o secundarios de los psicofármacos, especialmente respecto de menores de edad",En tramitación,2020/01/29,13242-11
29/01/2020,13232-03,Proyecto de ley que modifica la ley N° 19.496 para fortalecer los derechos de los consumidores en materia de información sobre costos adicionales en la contratación de productos financieros.,En tramitación,2020/01/29,13232-03
28/01/2020,13241-15,"Modifica la ley N°18.290, de Tránsito, para exigir, respecto de los conductores profesionales habilitados para el transporte de carga pesada, certificación médica que acredite el no consumo de drogas o sustancias psicotrópicas",En tramitación,2020/01/28,13241-15
28/01/2020,13239-03,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, para impedir que opere la caducidad de los saldos no utilizados de las tarjetas de prepago, en los contratos de suministro de bienes y servicios que las utilicen",En tramitación,2020/01/28,13239-03
23/01/2020,13226-03,"Modifica la ley N° 18.010, que Establece normas para las operaciones de crédito y otras obligaciones de dinero que indica, para reducir la tasa máxima convencional aplicable a los créditos que se otorguen a personas mayores de 65 años",En tramitación,2020/01/23,13226-03
15/01/2020,13205-07,"Sistematiza los delitos económicos y atentados contra el medio ambiente, modifica diversos cuerpos legales que tipifican delitos contra el orden socioeconómico, y adecua las penas aplicables a todos ellos",En tramitación,2020/01/15,13205-07
09/01/2020,13202-04,"Modifica la ley N°20.800, que Crea el Administrador Provisional y Administrador de Cierre de Instituciones de Educación Superior y establece regulaciones en materia de administración provisional de sostenedores educacionales, para crear un nuevo órgano colaborador de la administración, regular sus atribuciones y facilitar la continuidad de los estudios de los alumnos afectados",En tramitación,2020/01/09,13202-04
09/01/2020,13197-15,"Modifica el Código Aeronáutico para permitir el endoso del billete de pasaje aéreo, en las condiciones que señala",En tramitación,2020/01/09,13197-15
27/12/2019,13141-07,Proyecto de ley que impone a todo parlamentario el deber de convocar a una audiencia pública anual para explicar el contenido de un proyecto de ley de su autoría.,En tramitación,2019/12/27,13141-07
11/12/2019,13116-03,"Contempla diversas medidas tributarias y financieras destinadas a apoyar a las micro, pequeñas y medianas empresas",Publicado,2019/12/11,13116-03
11/12/2019,13150-03,"Modifica la ley N°18.010, que Establece normas para las operaciones de crédito y otras obligaciones de dinero que indica, y la ley N°19.496, que Establece normas sobre protección de los derechos de los consumidores, para prohibir el anatocismo y la cláusula de aceleración en las operaciones y contratos que indica",En tramitación,2019/12/11,13150-03
11/12/2019,13114-05,"Otorga reajuste de remuneraciones a los trabajadores del Sector Público, concede aguinaldos que señala, concede otros beneficios que indica, y modifica diversos cuerpos legales",Publicado,2019/12/11,13114-05
04/12/2019,13102-05,Entrega un bono extraordinario de apoyo familiar,Publicado,2019/12/04,13102-05
27/11/2019,13099-07,Modifica la Carta Fundamental para crear la Defensoría de las Personas,En tramitación,2019/11/27,13099-07
07/11/2019,13065-09,"Modifica la Ley de Concesiones de Obras Públicas, en lo relativo al cobro de tarifas y peajes por el uso de vías concesionadas, y la ley N° 18.287, que Establece procedimiento ante los Juzgados de Policía Local, en materia de anotación y prescripción de multas asociadas a deudas por tales conceptos",En tramitación,2019/11/07,13065-09
07/11/2019,13041-13,Crea un subsidio para alcanzar un ingreso mínimo garantizado,Publicado,2019/11/07,13041-13
29/10/2019,13020-03,Proyecto de ley que modifica diversos cuerpos legales sobre endeudamiento y derechos del consumidor.,En tramitación,2019/10/29,13020-03
28/10/2019,13056-11,"Regula el etiquetado, la venta y publicidad de los suplementos alimentarios o nutricionales en general",En tramitación,2019/10/28,13056-11
25/10/2019,13017-08,Proyecto de ley que crea un mecanismo transitorio de estabilización de precios de la energía eléctrica para clientes sujetos a regulación de tarifas.,Publicado,2019/10/25,13017-08
22/10/2019,13007-03,Proyecto de ley que modifica las reglas de imputación del pago de los intereses y el capital adeudado.,En tramitación,2019/10/22,13007-03
22/10/2019,13009-11,Proyecto de ley que establece la obligación de las farmacias de vender al público el fármaco original al precio establecido para el producto genérico cuando no dispongan de éstos para la venta.,En tramitación,2019/10/22,13009-11
17/10/2019,13035-03,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, para sancionar la producción, importación y comercialización de bienes y productos cuya funcionalidad o vida útil haya sido reducida deliberadamente, mediante técnicas de obsolescencia programada",En tramitación,2019/10/17,13035-03
09/10/2019,12989-07,"Modifica la Carta Fundamental para asegurar a todas las personas el derecho a la alimentación y a la seguridad alimentaria y nutricional, y amparar su ejercicio con la acción constitucional de protección",En tramitación,2019/10/09,12989-07
